FPS|deltaTimeS|renderingMode|totalObjectCount|visibleObjectCount|culledObjectCount|
50.00002|0.01999999|frustum|2500|2000|500
50.00002|0.01999999|frustum|2500|2000|500
14.78452|0.0676383|frustum|2500|2000|500
8.441696|0.1184596|frustum|2500|2000|500
8.244322|0.1212956|frustum|2500|2000|500
74.74346|0.0133791|frustum|2500|2000|500
55.85062|0.0179049|frustum|2500|2000|500
73.7001|0.0135685|frustum|2500|2000|500
73.98258|0.0135167|frustum|2500|2000|500
73.72509|0.0135639|frustum|2500|2000|500
74.206|0.013476|frustum|2500|2000|500
74.13338|0.0134892|frustum|2500|2000|500
73.66209|0.0135755|frustum|2500|2000|500
73.54892|0.01359639|frustum|2500|2000|500
54.82875|0.01823861|frustum|2500|2000|500
111.1729|0.008994997|frustum|2500|2000|500
72.33429|0.0138247|frustum|2500|2000|500
73.72024|0.0135648|frustum|2500|2000|500
74.46957|0.0134283|frustum|2500|2000|500
87.1414|0.0114756|frustum|2500|2000|500
88.82024|0.01125869|frustum|2500|2000|500
80.62563|0.012403|frustum|2500|2000|500
99.76459|0.0100236|frustum|2500|2000|500
89.05908|0.0112285|frustum|2500|2000|500
89.10987|0.0112221|frustum|2500|2000|500
88.83679|0.0112566|frustum|2500|2000|500
88.69336|0.0112748|frustum|2500|2000|500
89.58408|0.0111627|frustum|2500|2000|500
88.08862|0.0113522|frustum|2500|2000|500
89.79401|0.0111366|frustum|2500|2000|500
88.01577|0.0113616|frustum|2500|2000|500
88.79341|0.0112621|frustum|2500|2000|500
89.37829|0.0111884|frustum|2500|2000|500
86.81984|0.0115181|frustum|2500|2000|500
89.27216|0.0112017|frustum|2500|2000|500
88.77135|0.0112649|frustum|2500|2000|500
89.04717|0.01123|frustum|2500|2000|500
89.07657|0.0112263|frustum|2500|2000|500
88.60064|0.0112866|frustum|2500|2000|500
87.71696|0.0114003|frustum|2500|2000|500
89.81018|0.01113459|frustum|2500|2000|500
87.78707|0.0113912|frustum|2500|2000|500
89.3415|0.01119301|frustum|2500|2000|500
88.25113|0.0113313|frustum|2500|2000|500
89.47184|0.0111767|frustum|2500|2000|500
87.71085|0.0114011|frustum|2500|2000|500
88.53867|0.0112945|frustum|2500|2000|500
89.34479|0.01119259|frustum|2500|2000|500
88.37276|0.0113157|frustum|2500|2000|500
88.25659|0.0113306|frustum|2500|2000|500
88.13599|0.0113461|frustum|2500|2000|500
88.78313|0.0112634|frustum|2500|2000|500
89.33438|0.0111939|frustum|2500|2000|500
