deltaTimeS;cameraDistance;cameraPosition;cameraSpeed (from position);rotationAngularSpeed;;;DeltaTime ;FPS;;;;;;
0,0071998940;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0101307000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0092218970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0110747000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0089265020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0096698980;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0115089000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0111933000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0078114020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0117695000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0137727000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0089512970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0070491990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0098595020;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0142162000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0091428000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0099384000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0098902990;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0120754000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0108584000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0098612950;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0110499000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0125771000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0089262970;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0080767000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0131002000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0103593000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0101754000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0113649000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0129137000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0130139000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0129266000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0176565000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0149069000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0167569900;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0134386100;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0125643000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0133271000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0121832000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0134224000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0115578000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0164743000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0111114000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
0,0123180000;10,050;(0,00, 1,00, -10,00);;0;;;;;;;;;;
