timestamp|mode|fps|frametime_ms|render_texture_width|render_texture_height|secondary_camera_enabled|secondary_camera_update_rate|draw_calls|batches|tris|visible_object_count
4.235|baseline|50.00002|19.99999|0|0|False|1:1|132|132|40884258|60
5.066754|baseline|50.00002|19.99999|0|0|False|1:1|264|264|81768516|60
5.209619|baseline|6.703393|149.1782|0|0|False|1:1|264|264|81768516|60
5.237426|baseline|35.48402|28.1817|0|0|False|1:1|264|264|81768516|60
5.310623|baseline|13.65225|73.248|0|0|False|1:1|132|132|40884258|60
5.314179|baseline|256.4695|3.8991|0|0|False|1:1|132|132|40884258|60
5.331161|baseline|59.87559|16.7013|0|0|False|1:1|132|132|40884258|60
7.650886|baseline|3|333.3333|0|0|False|1:1|132|132|40884258|60
7.802724|baseline|6.526627|153.2185|0|0|False|1:1|132|132|40884258|60
8.008198|baseline|4.880937|204.8787|0|0|False|1:1|129|129|39808434|60
8.027314|baseline|49.58892|20.1658|0|0|False|1:1|129|129|39808434|60
8.10034|baseline|13.90074|71.93861|0|0|False|1:1|133|133|40884260|60
8.170925|baseline|14.46435|69.1355|0|0|False|1:1|132|132|40884258|60
8.238752|baseline|14.5482|68.73701|0|0|False|1:1|132|132|40884258|60
8.256186|baseline|52.36644|19.0962|0|0|False|1:1|132|132|40884258|60
8.272137|baseline|64.95491|15.3953|0|0|False|1:1|132|132|40884258|60
8.283941|baseline|79.98717|12.50201|0|0|False|1:1|132|132|40884258|60
8.296754|baseline|79.12083|12.6389|0|0|False|1:1|132|132|40884258|60
8.309216|baseline|80.43368|12.4326|0|0|False|1:1|132|132|40884258|60
8.321886|baseline|78.78297|12.6931|0|0|False|1:1|132|132|40884258|60
8.334509|baseline|79.68825|12.5489|0|0|False|1:1|132|132|40884258|60
8.34699|baseline|79.61151|12.561|0|0|False|1:1|132|132|40884258|60
8.361914|baseline|66.14896|15.1174|0|0|False|1:1|132|132|40884258|60
8.377154|baseline|66.25763|15.0926|0|0|False|1:1|132|132|40884258|60
8.392153|baseline|67.07087|14.9096|0|0|False|1:1|132|132|40884258|60
8.40494|baseline|78.2436|12.7806|0|0|False|1:1|132|131|40884258|60
8.418447|baseline|73.74574|13.56011|0|0|False|1:1|133|133|40884260|60
8.431805|baseline|74.75689|13.37669|0|0|False|1:1|132|132|40884258|60
8.442924|baseline|89.29526|11.1988|0|0|False|1:1|132|132|40884258|60
8.453644|baseline|94.18945|10.6169|0|0|False|1:1|132|132|40884258|60
8.464181|baseline|93.54977|10.6895|0|0|False|1:1|132|132|40884258|60
8.475122|baseline|92.86514|10.7683|0|0|False|1:1|132|132|40884258|60
8.485858|baseline|92.80656|10.7751|0|0|False|1:1|132|131|40525650|60
8.4964|baseline|93.57867|10.6862|0|0|False|1:1|132|132|40884258|60
8.507147|baseline|94.37344|10.5962|0|0|False|1:1|132|132|40884258|60
8.517555|baseline|94.43495|10.5893|0|0|False|1:1|132|132|40884258|60
8.528245|baseline|95.10947|10.5142|0|0|False|1:1|132|132|40884258|60
8.53904|baseline|93.733|10.6686|0|0|False|1:1|132|132|40884258|60
8.549439|baseline|94.77145|10.5517|0|0|False|1:1|132|132|40884258|60
8.560534|baseline|89.12417|11.2203|0|0|False|1:1|132|132|40884258|60
8.571312|baseline|94.11501|10.6253|0|0|False|1:1|132|132|40884258|60
8.583203|baseline|83.54567|11.9695|0|0|False|1:1|133|133|40884260|60
8.594222|baseline|91.2101|10.9637|0|0|False|1:1|132|132|40884258|60
8.604986|baseline|93.74707|10.667|0|0|False|1:1|132|132|40884258|60
8.615665|baseline|91.46454|10.9332|0|0|False|1:1|132|132|40884258|60
8.626945|baseline|91.86196|10.8859|0|0|False|1:1|132|132|40884258|60
8.63734|baseline|92.87724|10.7669|0|0|False|1:1|132|132|40884258|60
8.648172|baseline|93.89227|10.6505|0|0|False|1:1|132|132|40884258|60
8.658862|baseline|91.86364|10.8857|0|0|False|1:1|131|131|40525650|60
8.669707|baseline|94.03355|10.6345|0|0|False|1:1|132|132|40884258|60
8.680173|baseline|93.60667|10.683|0|0|False|1:1|132|132|40884258|60
8.690819|baseline|95.4135|10.4807|0|0|False|1:1|132|132|40884258|60
8.701838|baseline|90.94875|10.9952|0|0|False|1:1|132|132|40884258|60
8.712565|baseline|93.0051|10.7521|0|0|False|1:1|132|132|40884258|60
8.725585|baseline|77.31082|12.9348|0|0|False|1:1|132|132|40884258|60
8.736126|baseline|93.54716|10.6898|0|0|False|1:1|132|132|40884258|60
8.748361|baseline|82.53954|12.11541|0|0|False|1:1|133|133|40884260|60
8.75946|baseline|88.42205|11.3094|0|0|False|1:1|132|132|40884258|60
8.770263|baseline|94.02027|10.636|0|0|False|1:1|132|132|40884258|60
8.780765|baseline|93.69355|10.67309|0|0|False|1:1|132|132|40884258|60
8.791582|baseline|93.85968|10.6542|0|0|False|1:1|132|132|40884258|60
8.802801|baseline|88.04834|11.3574|0|0|False|1:1|129|129|39808434|60
8.813681|baseline|93.38546|10.70831|0|0|False|1:1|132|132|40884258|60
8.824142|baseline|93.7814|10.66309|0|0|False|1:1|132|132|40884258|60
8.835719|baseline|89.90946|11.1223|0|0|False|1:1|132|132|40884258|60
8.846635|baseline|90.34971|11.0681|0|0|False|1:1|132|132|40884258|60
8.857059|baseline|93.31494|10.7164|0|0|False|1:1|132|132|40884258|60
8.867866|baseline|94.01852|10.6362|0|0|False|1:1|131|130|40884046|60
8.878516|baseline|92.39841|10.8227|0|0|False|1:1|132|132|40884258|60
8.8895|baseline|92.97049|10.7561|0|0|False|1:1|132|132|40884258|60
8.899925|baseline|93.89234|10.6505|0|0|False|1:1|132|132|40884258|60
8.912108|baseline|83.54983|11.96891|0|0|False|1:1|133|133|40884260|60
8.922901|baseline|90.77956|11.0157|0|0|False|1:1|132|132|40884258|60
8.933871|baseline|93.70313|10.672|0|0|False|1:1|132|132|40884258|60
8.94491|baseline|90.64708|11.0318|0|0|False|1:1|132|132|40884258|60
8.95527|baseline|93.79099|10.662|0|0|False|1:1|132|132|40884258|60
8.966256|baseline|93.15153|10.7352|0|0|False|1:1|132|132|40884258|60
8.977231|baseline|90.68074|11.0277|0|0|False|1:1|132|132|40884258|60
8.988332|baseline|90.18353|11.0885|0|0|False|1:1|132|132|40884258|60
8.99894|baseline|92.71017|10.7863|0|0|False|1:1|132|132|40884258|60
9.009702|baseline|93.99465|10.6389|0|0|False|1:1|132|132|40884258|60
9.02009|baseline|94.99205|10.5272|0|0|False|1:1|132|132|40884258|60
9.030981|baseline|93.25574|10.7232|0|0|False|1:1|132|132|40884258|60
9.041428|baseline|94.061|10.6314|0|0|False|1:1|132|132|40884258|60
9.052697|baseline|91.93288|10.8775|0|0|False|1:1|132|132|40884258|60
9.063355|baseline|90.94958|10.9951|0|0|False|1:1|132|132|40884258|60
9.075519|baseline|83.62463|11.9582|0|0|False|1:1|133|133|40884260|60
9.091937|baseline|60.56642|16.5108|0|0|False|1:1|132|131|40525650|60
9.09888|baseline|139.9521|7.145302|0|0|False|1:1|132|131|40525650|60
9.110924|baseline|86.55163|11.5538|0|0|False|1:1|132|132|40884258|60
9.121663|baseline|89.66359|11.1528|0|0|False|1:1|132|132|40884258|60
9.132401|baseline|94.19479|10.6163|0|0|False|1:1|132|132|40884258|60
9.142941|baseline|93.42825|10.7034|0|0|False|1:1|132|132|40884258|60
9.153657|baseline|95.00555|10.5257|0|0|False|1:1|132|132|40884258|60
9.164109|baseline|94.38593|10.5948|0|0|False|1:1|132|132|40884258|60
9.175131|baseline|92.03018|10.866|0|0|False|1:1|132|132|40884258|60
9.186373|baseline|91.58516|10.9188|0|0|False|1:1|132|132|40884258|60
9.197042|baseline|89.71107|11.1469|0|0|False|1:1|132|132|40884258|60
9.207864|baseline|94.09549|10.6275|0|0|False|1:1|132|132|40884258|60
9.219083|baseline|88.05525|11.35651|0|0|False|1:1|132|132|40884258|60
9.232002|baseline|78.23318|12.7823|0|0|False|1:1|132|132|40884258|60
9.244018|baseline|81.815|12.2227|0|0|False|1:1|133|133|40884260|60
9.25535|baseline|90.3571|11.0672|0|0|False|1:1|132|132|40884258|60
9.265832|baseline|93.92577|10.6467|0|0|False|1:1|132|132|40884258|60
9.276278|baseline|94.62891|10.5676|0|0|False|1:1|132|132|40884258|60
9.286998|baseline|94.81004|10.54741|0|0|False|1:1|132|132|40884258|60
9.297296|baseline|95.32893|10.49|0|0|False|1:1|132|132|40884258|60
9.308199|baseline|93.36019|10.7112|0|0|False|1:1|132|132|40884258|60
9.318682|baseline|93.70406|10.6719|0|0|False|1:1|132|132|40884258|60
9.32953|baseline|94.78132|10.5506|0|0|False|1:1|127|128|39091218|60
9.339972|baseline|93.2149|10.7279|0|0|False|1:1|132|132|40884258|60
9.35088|baseline|94.31471|10.6028|0|0|False|1:1|132|132|40884258|60
9.360996|baseline|95.82946|10.4352|0|0|False|1:1|132|132|40884258|60
9.371977|baseline|92.53175|10.8071|0|0|False|1:1|132|132|40884258|60
9.382397|baseline|94.47244|10.5851|0|0|False|1:1|132|132|40884258|60
9.393386|baseline|92.42056|10.8201|0|0|False|1:1|131|131|40525650|60
9.405149|baseline|84.88676|11.7804|0|0|False|1:1|133|133|40884260|60
9.415714|baseline|93.19231|10.7305|0|0|False|1:1|132|132|40884258|60
9.426613|baseline|92.97398|10.7557|0|0|False|1:1|132|132|40884258|60
9.437963|baseline|87.13457|11.4765|0|0|False|1:1|132|132|40884258|60
9.448896|baseline|92.42655|10.8194|0|0|False|1:1|132|132|40884258|60
9.459168|baseline|96.01169|10.4154|0|0|False|1:1|132|132|40884258|60
9.47003|baseline|93.92228|10.6471|0|0|False|1:1|132|132|40884258|60
9.480474|baseline|94.27206|10.6076|0|0|False|1:1|132|132|40884258|60
9.491254|baseline|93.83241|10.6573|0|0|False|1:1|132|132|40884258|60
9.501681|baseline|94.58857|10.5721|0|0|False|1:1|132|132|40884258|60
9.512315|baseline|95.50002|10.4712|0|0|False|1:1|132|132|40884258|60
9.522797|baseline|94.01676|10.6364|0|0|False|1:1|132|132|40884258|60
9.533635|baseline|94.11677|10.6251|0|0|False|1:1|132|132|40884258|60
9.551887|baseline|55.37957|18.0572|0|0|False|1:1|132|132|40884258|60
9.562099|baseline|94.08847|10.62829|0|0|False|1:1|132|132|40884258|60
9.574798|baseline|80.14807|12.47691|0|0|False|1:1|131|131|40167044|60
9.585691|baseline|91.42442|10.938|0|0|False|1:1|132|132|40884258|60
9.596212|baseline|93.84033|10.6564|0|0|False|1:1|132|132|40884258|60
9.606884|baseline|94.74988|10.5541|0|0|False|1:1|132|132|40884258|60
9.617397|baseline|93.60753|10.6829|0|0|False|1:1|132|132|40884258|60
9.628141|baseline|94.53851|10.5777|0|0|False|1:1|132|132|40884258|60
9.638475|baseline|95.21631|10.5024|0|0|False|1:1|132|132|40884258|60
9.649459|baseline|92.45307|10.8163|0|0|False|1:1|132|132|40884258|60
9.659934|baseline|94.16821|10.6193|0|0|False|1:1|132|132|40884258|60
9.671062|baseline|92.22366|10.8432|0|0|False|1:1|132|132|40884258|60
9.681491|baseline|93.44749|10.7012|0|0|False|1:1|132|132|40884258|60
9.692349|baseline|93.26967|10.7216|0|0|False|1:1|132|132|40884258|60
9.703208|baseline|91.17345|10.96811|0|0|False|1:1|132|132|40884258|60
9.714033|baseline|94.60918|10.5698|0|0|False|1:1|132|132|40884258|60
9.724308|baseline|94.45277|10.5873|0|0|False|1:1|132|132|40884258|60
9.737801|baseline|74.97151|13.3384|0|0|False|1:1|133|133|40884260|60
9.750767|baseline|77.38263|12.9228|0|0|False|1:1|132|132|40884258|60
9.76119|baseline|94.10792|10.6261|0|0|False|1:1|132|132|40884258|60
9.772126|baseline|93.19834|10.7298|0|0|False|1:1|132|132|40884258|60
9.782436|baseline|95.28619|10.4947|0|0|False|1:1|132|132|40884258|60
9.793165|baseline|94.61185|10.5695|0|0|False|1:1|132|132|40884258|60
9.803472|baseline|95.35348|10.4873|0|0|False|1:1|132|132|40884258|60
9.814228|baseline|94.49117|10.583|0|0|False|1:1|132|132|40884258|60
9.824814|baseline|94.37521|10.596|0|0|False|1:1|132|132|40884258|60
9.835208|baseline|94.73195|10.5561|0|0|False|1:1|132|132|40884258|60
9.84607|baseline|93.65226|10.6778|0|0|False|1:1|132|132|40884258|60
9.856341|baseline|95.54205|10.4666|0|0|False|1:1|132|132|40884258|60
9.867106|baseline|94.70683|10.5589|0|0|False|1:1|132|132|40884258|60
9.877862|baseline|91.5114|10.9276|0|0|False|1:1|120|120|36222354|60
9.888517|baseline|95.11851|10.5132|0|0|False|1:1|132|132|40884258|60
9.89962|baseline|89.51429|11.1714|0|0|False|1:1|133|133|40884260|60
9.910701|baseline|91.38097|10.9432|0|0|False|1:1|132|132|40884258|60
9.92101|baseline|94.88201|10.53941|0|0|False|1:1|132|132|40884258|60
9.931748|baseline|94.49027|10.5831|0|0|False|1:1|132|132|40884258|60
9.942151|baseline|94.63786|10.5666|0|0|False|1:1|132|132|40884258|60
